spectral_signaturesID,EquipmentsID
87,6
37,18
28,89
38,20
66,23
39,94
12,34
70,95
22,7
23,23
10,89
11,68
64,42
42,15
8,36
100,63
91,9
56,23
69,61
82,66
59,14
59,2
15,51
87,49
93,39
78,87
47,19
13,48
100,49
11,95
41,66
39,33
67,34
54,6
43,48
27,54
10,14
26,72
91,100
71,51
89,76
32,16
66,91
74,72
69,84
78,21
99,83
78,22
45,6
7,61
49,79
35,25
93,32
20,34
20,6
25,7
81,99
26,10
23,72
76,53
1,84
78,74
24,2
16,10
84,61
23,4
95,19
9,36
95,8
21,94
75,32
64,54
1,59
73,69
22,15
40,87
90,48
78,37
3,21
85,49
34,16
47,81
14,70
78,10
97,15
95,60
39,21
48,13
9,10
87,18
34,8
3,92
64,1
22,97
5,43
29,78
23,9
14,31
74,87
19,14
